key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2015-06-21 10:33:57.0000001,10.0,2015-06-21 10:33:57 UTC,-73.9662094116211,40.7618408203125,-73.99128723144531,40.74501037597656,1
2010-01-13 08:13:14.0000007,10.9,2010-01-13 08:13:14 UTC,-73.932603,40.763805,-73.932603,40.763805,1
2011-10-08 10:38:10.0000002,14.9,2011-10-08 10:38:10 UTC,-74.008679,40.711449,-73.99090600000001,40.742073,1
2010-11-09 16:09:00.00000015,5.7,2010-11-09 16:09:00 UTC,-73.975663,40.791653000000004,-73.98226700000001,40.774968,1
2013-09-22 21:27:47.0000001,11.0,2013-09-22 21:27:47 UTC,-73.985324,40.744291,-73.99336600000001,40.719451,1
2014-12-23 14:28:17.0000003,16.0,2014-12-23 14:28:17 UTC,-73.98926,40.742155,-73.982975,40.765731,1
2012-08-27 14:31:40.0000003,7.3,2012-08-27 14:31:40 UTC,-73.99139100000001,40.755926,-73.974241,40.778656,1
2015-01-06 10:21:48.0000001,42.83,2015-01-06 10:21:48 UTC,-74.00165557861328,40.73049545288085,-73.8655776977539,40.770957946777344,4
2012-10-13 21:16:03.0000005,7.0,2012-10-13 21:16:03 UTC,-73.968825,40.761174,-73.981575,40.749427000000004,1
2013-04-26 18:19:06.0000003,7.0,2013-04-26 18:19:06 UTC,-73.980853,40.776583,-73.96786,40.792093,1
2013-09-16 22:59:09.0000001,52.0,2013-09-16 22:59:09 UTC,-73.79004300000001,40.646993,-73.984835,40.766847999999996,1
2015-03-14 13:35:54.0000006,6.0,2015-03-14 13:35:54 UTC,-73.9588394165039,40.81530380249024,-73.9666748046875,40.804443359375,4
2012-12-14 10:48:00.0000006,9.5,2012-12-14 10:48:00 UTC,-73.994037,40.7512,-73.990155,40.759067,5
2015-05-14 13:10:05.00000010,21.0,2015-05-14 13:10:05 UTC,-74.01563262939453,40.71094131469727,-73.99066162109375,40.7506103515625,1
2012-09-30 02:50:12.0000003,15.5,2012-09-30 02:50:12 UTC,-73.98644399999999,40.722508000000005,-73.95734,40.681453999999995,1
2015-05-03 17:20:58.0000001,6.0,2015-05-03 17:20:58 UTC,-73.98819732666014,40.755149841308594,-73.99411010742188,40.74092102050781,6
2015-03-14 01:13:31.0000003,10.0,2015-03-14 01:13:31 UTC,-73.99044036865234,40.74608612060547,-73.97785186767578,40.72932052612305,2
2012-11-04 17:50:06.0000003,13.5,2012-11-04 17:50:06 UTC,-74.003037,40.72323,-73.986034,40.755793,4
2013-02-06 08:29:32.0000005,10.0,2013-02-06 08:29:32 UTC,-73.97627299999999,40.751684000000004,-73.999804,40.752302,1
2010-04-12 23:46:58.0000002,4.9,2010-04-12 23:46:58 UTC,-73.986743,40.722187,-73.98276800000001,40.71333,1
2012-04-23 21:14:00.0000001,7.3,2012-04-23 21:14:00 UTC,-73.97239,40.758703000000004,-73.989563,40.767934999999994,1
2011-12-10 09:41:00.0000006,6.1,2011-12-10 09:41:00 UTC,-73.95142,40.782652,-73.965875,40.765377,5
2012-09-16 20:51:13.0000001,6.0,2012-09-16 20:51:13 UTC,-73.992775,40.75155,-73.974953,40.744296999999996,1
2010-02-08 08:56:00.00000052,9.3,2010-02-08 08:56:00 UTC,-73.967167,40.803512,-73.94481,40.840866999999996,5
2010-03-22 12:17:00.00000073,3.3,2010-03-22 12:17:00 UTC,-73.982285,40.731747,-73.977952,40.737527,1
2013-04-21 17:42:00.000000186,6.0,2013-04-21 17:42:00 UTC,-73.973665,40.755377,-73.977085,40.743282,1
2011-08-15 18:31:47.0000007,6.1,2011-08-15 18:31:47 UTC,-73.973833,40.737687,-73.969061,40.757574,1
2012-01-18 10:15:28.0000001,5.3,2012-01-18 10:15:28 UTC,-73.99990600000001,40.727304,-74.001324,40.736911,1
2011-09-13 00:09:54.0000003,5.7,2011-09-13 00:09:54 UTC,-73.983438,40.752179999999996,-73.998942,40.760991,1
2011-08-31 19:34:01.0000004,12.9,2011-08-31 19:34:01 UTC,-73.994715,40.725865,-73.961188,40.770043,1
2013-08-30 08:45:00.00000085,16.5,2013-08-30 08:45:00 UTC,-73.95891,40.763882,-74.005517,40.75094,6
2013-08-16 09:19:00.000000103,6.5,2013-08-16 09:19:00 UTC,-73.98252,40.756142,-73.98870699999999,40.742937,3
2012-05-12 18:19:00.00000034,4.1,2012-05-12 18:19:00 UTC,-73.994835,40.750165,-73.991745,40.75432,1
2011-03-14 13:39:05.0000001,8.5,2011-03-14 13:39:05 UTC,-73.978338,40.762440999999995,-73.991171,40.739416999999996,1
2013-10-18 20:33:00.00000056,8.0,2013-10-18 20:33:00 UTC,-74.008,40.726746999999996,-73.99372199999999,40.720177,2
2009-10-21 17:36:00.000000210,11.3,2009-10-21 17:36:00 UTC,-73.983088,40.76789,-74.00090300000001,40.735132,1
2011-10-26 08:45:00.00000012,19.7,2011-10-26 08:45:00 UTC,-73.96606,40.805487,-73.980355,40.752866999999995,2
2012-04-19 17:10:00.000000172,15.7,2012-04-19 17:10:00 UTC,-74.00627,40.733907,-73.96688,40.76415,2
2010-06-09 16:55:40.0000001,6.5,2010-06-09 16:55:40 UTC,-73.979668,40.765431,-73.974775,40.783144,2
2009-12-31 14:30:00.00000021,4.1,2009-12-31 14:30:00 UTC,-74.006635,40.741597999999996,-73.99945,40.745702,1
2012-07-01 15:18:00.00000018,5.7,2012-07-01 15:18:00 UTC,-74.014937,40.709637,-74.01612,40.707072,4
2010-12-30 04:35:00.0000005,5.3,2010-12-30 04:35:00 UTC,-73.97306,40.754363,-73.981332,40.761715,1
2011-06-19 13:04:00.000000131,4.1,2011-06-19 13:04:00 UTC,-73.967683,40.771607,-73.972163,40.762417,1
2010-07-18 17:40:00.000000104,9.7,2010-07-18 17:40:00 UTC,-73.997438,40.736435,-73.985015,40.768454999999996,2
2012-07-03 17:23:00.000000173,18.5,2012-07-03 17:23:00 UTC,-73.990852,40.730346999999995,-73.957223,40.722138,2
2013-03-28 20:14:00.000000283,8.0,2013-03-28 20:14:00 UTC,-73.990245,40.714162,-74.00952,40.704677000000004,1
2013-02-02 22:11:49.0000004,6.5,2013-02-02 22:11:49 UTC,-73.97767900000001,40.787151,-73.971675,40.799601,1
2011-11-19 21:34:00.000000129,9.7,2011-11-19 21:34:00 UTC,-74.006877,40.705635,-73.98772199999999,40.722975,3
2013-12-04 13:25:45.0000003,5.0,2013-12-04 13:25:45 UTC,-73.990558,40.741993,-73.995558,40.733303,2
2012-01-28 18:25:00.000000180,49.8,2012-01-28 18:25:00 UTC,-73.807152,40.654367,-73.97686999999999,40.752322,1
2010-09-26 23:18:19.0000001,21.47,2010-09-26 23:18:19 UTC,-73.987161,40.739921,-73.89202399999999,40.746944,2
